"zap"	"trans"	"context"	"speaker"	"note"
"825"	"Gugyahb Jwany lainy guedy"	"Juan went and fell in a hole."	"Juan falls accidentally into a hole."	"Felipe"	""
"826"	"Gugaty Jwany."	"Juan went and died."	"He is carried to the hospital and he dies there."	"Felipe"	""
"827"	"#Gugaty Jwany."	"Juan went and died."	"Someone kidnaps him in the night while he's asleep, takes him to a field, and kills him there."	"Felipe"	"If someone else kills him, it would be weird to say that he went and died."
"828"	"Gugaty Jwany."	"Juan went and died."	"If Juan moves to the States and gets killed and I'm talking about how dangerous it is in the States"	"Felipe"	"Ok if someone kills him, but someone might ask for more information; less informative than saying someone killed him."
"829"	"Gugaa' Bed lainy guedy."	"Pedro went and got stuck in a hole."	""	"Felipe"	""
"830"	"A gual chaa."	"I will leave now."	""	"Felipe"	""
"831"	"Na a gual chaa."	"I will leave now."	""	"Felipe"	""
"832"	"Dezy zaa."	"I left just."	"I just left (a party)"	"Felipe"	""
"833"	"Dezy bdiaa"	"I just left."	"I just started to walk"	"Felipe"	""
"834"	"Uas rquitlaza Maria."	"Maria is happy now."	"If Maria used to be sad because she hated her job, but she got a new job that she likes."	"Felipe"	""
"835"	"Na a quitlaz Maria."	"Maria is happy now."	"If Maria used to be sad because she hated her job, but she got a new job that she likes."	"Felipe"	"contrasting before and now"
"836"	"#Nah dezy bdiaa."	"I left just now."	"I just started to walk"	"Felipe"	""
"837"	"A nisgyia a cayab."	"It's raining (now)."	""	"Felipe"	""
"838"	"Cayab a nisgyia."	"It's raining (now)."	""	"Felipe"	""
"839"	"Cad chi rguibia xaba riab nisgyia rraguel."	"Every time I wash my clothes it rains the next day."	""	"Felipe"	""
"840"	"*Cad chi rguibia xaba riab nisgyia zhi."	"Every time I wash my clothes it rains tomorrow."	""	"Felipe"	""
"841"	"Cad chi rauwa bel racxua rraguel."	"Every time I eat fish, I get sick the next day."	""	"Felipe"	""
"842"	"*Cad chi rauwa bel racxua zhi."	"Every time I eat fish, I get sick tomorrow."	""	"Felipe"	""
"843"	"Cad chi nua San Luc rquitlaza."	"Whenever I'm in San Lucas, I'm happy."	""	"Felipe"	""
"844"	"Na quitlaza nua San Luc chiru cad chi riela San Luc rquitlaza."	"Whenever I'm in San Lucas, I'm happy now."	"Now that I'm in San Lucas, and every time that I come here, I'm happy."	"Felipe"	""
"845"	"#Cad chi nua San Luc, na rquitlaza."	"Whenever I'm in San Lucas, I'm happy now."	""	"Felipe"	""
"846"	"Cad chi racxua bidauwa bel zhi bdeidy."	"Every time I get sick, I've eaten fish the day before."	""	"Felipe"	""
"847"	"*Cad chi racxua bidauwa bel nai."	"Every time I get sick, I've eaten fish yesterday."	""	"Felipe"	"Can't use yesterday because it's general."
"848"	"Naru chinia liu gunybeu xnana."	"I will now take you to meet my mother."	"You've probably been meaning to take him or you've talked about it"	"Felipe"	"naru is finally"
"849"	"Na chinia liu gunybeu xnana."	"I will now take you to meet my mother."	""	"Felipe"	""
"850"	"Gwuazya lae:ng tyen gwuazye:ng naa."	"I hit him because he hit me."	""	"Felipe"	""
"851"	"Gwuazya lae:ng tyen nah gwuazye:ng naa."	"I hit him because he now hit me."	"Maybe you've been hitting him but now he deserves it; they're probably always hitting him but now they're hitting him because he deserves it, because he's hitting them"	"Felipe"	"needs a prior time to contrast with, like a change in the reason for hitting"
"852"	"Na bzal surc gicye:ng"	"Now put the sugar in it"	"As in a recipe"	"Felipe"	"like when you're making atole"
"853"	"Gua la Maria xli'ebr Eliza."	"Eliza is borrowing Mary's book"	""	"Felipe"	"comic caption"
"854"	"Zhi di inizha xli'ebru"	""	""	"Felipe"	"comic caption"
"855"	"Axta naa cabeza xli'ebra."	""	""	"Felipe"	"comic caption"
"856"	"Ca zhi Maria tyen Eliza naa niedne:ng lie'br Mart."	"Maria is upset because Eliza said she would return her book on Tuesday"	""	"Felipe"	"comic caption"
"857"	"*Ca zhi Maria tyen Eliza naa niedne:ng lie'br zhi."	"Maria is upset because Eliza said she would return her book on Tuesday"	""	"Felipe"	"comic caption"
"858"	"A zeu ladi e?"	"You're going to the States?"	"He's on his way from San Lucas to the US, but right now he's in Mexico City and we call him"	"Felipe"	""
"859"	"Ah, a zaa ladi."	"Yes, I'm going to the States."	"He's on his way from San Lucas to the US, but right now he's in Mexico City and we call him"	"Felipe"	""
"860"	"A zaa Los Angeles."	"I'm going to LA."	"He's on his way from San Lucas to the US, but right now he's in San Diego and we call him"	"Felipe"	"He would be more specific about where he's going since he's already reached the States."
"861"	"#A zaa ladi."	"I'm going to the States."	"He's on his way from San Lucas to the US, but right now he's in San Diego and we call him"	"Felipe"	"He's already in the States so he can't use this."
"862"	"A ziala."	"I'm coming back."	"He went to the US and he's coming home to San Lucas but he's in Mexico City right now."	"Felipe"	""
"863"	"#A zaa ladi."	"I'm going to the States."	"He went to the US and he's coming home to San Lucas but he's in Mexico City right now."	"Felipe"	"Not good because he's already been, now he's on his way to SL."
"864"	"#Gwaa ladi."	"I went to the States."	"He went to the US and he's coming home to San Lucas but he's in Mexico City right now."	"Felipe"	"Only good if he's already back in SL."
"865"	"Gwaa ladi."	"I went to the States."	"He went to the US but he's back in San Lucas now."	"Felipe"	""
"866"	"#Zaa ladi."	"I went to the States."	"He went to the US but he's back in San Lucas now."	"Felipe"	""
"867"	"Gwe xtadna ladi lo 1983."	"My grandfather went to the US in 1983."	"He died there without ever coming home."	"Felipe"	""
"868"	"A zia Mej queity rua gicya."	"I'm going to Mexico City and I'm never coming back."	"Pedro is moving to Mexico City and he tells his mom that he's never coming back."	"Felipe"	""
"869"	"Ana a nua Mej queity rua gicya."	"I'm in Mexico City and I'm never coming back."	"Pedro has moved to Mexico City and he tells his mom that he's never coming back."	"Felipe"	""
"870"	"A Bed a ze a Mej chiru queity rue:ng gicy:eng."	"Pedro has gone to Mexico City and he's never coming back."	"Pedro's mom tells her sister."	"Felipe"	""
"871"	"Gwe Bed Mej dubiaz gugaty:eng ric'."	"Pedro went to Mexico City last year and died there."	""	"Felipe"	""
"872"	"Rinylua nirto nieb zied nes laty zhuan."	"I see the ice cream seller coming towards us."	""	"Felipe"	""
"873"	"Asy a zied Bed giedgan danon."	"Pedro is coming to visit us."	"If he calls us from Oaxaca."	"Felipe"	"It's certain he's going to come visit us"
"874"	"A Bed nu re' biedgan danon."	"Pedro has come to visit us."	"If he is already in San Lucas and I tell my neighbor."	"Felipe"	""
"875"	"#A Bed nu re' ziedgan danon."	"Pedro has come to visit us."	"If he is already in San Lucas and I tell my neighbor."	"Felipe"	""
"876"	"Asy a zied Bed giedgan danon."	"Pedro is coming to visit us."	"If he calls us from Tlacolula."	"Felipe"	"He's on his way"
"877"	"chiguga"	"slowly"	""	"Felipe"	""
"878"	"Chiguga byua liaza."	"I went into my house slowly."	""	"Felipe"	""
"879"	"parrar"	"quickly"	""	"Felipe"	""
"880"	"Parrar benya zeny"	"I work quickly."	""	"Felipe"	""
"881"	"zacza"	"fortunately/luckily"	""	"Felipe"	""
"882"	"Zacza ca'a muly bzia bsteidy ni riulaze:ng."	"Fortunately I had money to buy the dress that she liked."	""	"Felipe"	""
"883"	"Senbe:g"	"on purpose/purposefully"	""	"Felipe"	""
"884"	"Senbe:g benye:ng ni."	"He did it on purpose."	""	"Felipe"	""
"885"	"ya"	"unexpectedly"	""	"Felipe"	""
"886"	"Gutiya mniny"	"The child died unfairly/unexpectedly."	""	"Felipe"	""
"887"	"Dets pwert briaya mniny."	"The child came out from behind the door unexpectedly."	""	"Felipe"	""
"888"	"Bzhibya mniny."	""	""	"Felipe"	""
"889"	"Gugatya Jwany."	"Juan went and died unexpectedly."	""	"Felipe"	"All of a sudden he went and died"
"890"	"Bdawya becw mniny."	"All of a sudden the dog bite the child."	""	"Felipe"	""
"891"	"#Gugatya Jwany."	"Juan went and died unexpectedly."	"If he's an 80-year-old"	"Felipe"	"Weird because if he's really old you might expect him to die; better with a child who is not likely to die."
"892"	"Abtoya"	"She sold it suddenly."	""	"Felipe"	""
"893"	"Btoya Maria xgunni."	"Maria unexpectedly sold her bull,"	"Maybe she knew she could sell it for more if she waited, but she really needed money."	"Felipe"	""
"894"	"Gutoya Maria xgunni logyia."	"Maria went and sold her bull at the market unexpectedly."	""	"Felipe"	"Fine even if she goes to the market every day."
"895"	"#Gutoya Maria xgunni Ndua."	"Maria went and sold her bull in Oaxaca."	"If Maria normally sells her bulls in Tlacolula, but one day she unexpectedly goes to Oaxaca."	"Felipe"	"Can't mean that just the going is unexpected."
"896"	"Gweya Maria Ndua gutoye:ng xgunni."	"Maria went and sold her bull in Oaxaca."	"If Maria normally sells her bulls in Tlacolula, but one day she unexpectedly goes to Oaxaca."	"Felipe"	""
"897"	"*Guyato Maria xgunni."	"Maria unexpectedly went and sold her bull,"	""	"Felipe"	""
"898"	"Xi gusi Maria logyia?"	"What did Maria go and buy at the market?"	""	"Felipe"	""
"899"	"Maria xi gusi Maria logyia?"	"What did Maria go and buy at the market?"	""	"Felipe"	"Felipe imitating Paty"
"900"	"Gautage:ng."	"She will eat right away."	""	"Felipe"	""
"901"	"Giedtautage:ng."	"She will come and eat right away."	""	"Felipe"	""
"902"	"#Giedtautage:ng."	"She will come and eat right away."	"She is coming right away but we'll wait a few hours before eating."	"Felipe"	""
"903"	"Chizeny Brook gautage:ng."	"When Brook arrives she will eat right away."	""	"Felipe"	""
"904"	"Giedtautagu na!"	"Come and eat right away!"	""	"Felipe"	"A command, like to kids."
"905"	"Gautage:ng guet!"	"Eat bread!"	""	"Felipe"	""
"906"	"Xi beinychia Maria bdauwe:ng?"	"What did Maria make to eat?"	""	"Felipe"	"The food could be for her or for someone else."
"907"	"#Xi beinychia Maria chiru gwe:ng television?"	"What did Maria cook and watch tv?"	""	"Felipe"	"Sounds weird, much worse than \"Xi gusi Maria logyia?\""
"908"	"Xi gusi Maria logyia?"	"What did Maria go to the market and buy?"	""	"Felipe"	"Felipe thought this question sounded super weird in English, but he said the Zapotec was normal."
"909"	"Brook biedsi teiby tapet nai logyia."	"Brook came and bought a rug at the market yesterday."	""	"Felipe"	""
"910"	"Queity nisidi Brook tapet logyia."	"Brook didn't go and buy a rug at the market."	""	"Felipe"	"Could be that she bought a rug somewhere else, she might even have gone to the market, but she didn't buy the rug there."
"911"	"Queity gusidi Brook tapet logyia."	"Brook didn't go and buy a rug at the market."	""	"Felipe"	""
"912"	"Gwe Brook logyia queity nizidie:ng tapet."	"Brook went to the market but she didn't buy a rug."	""	"Felipe"	""
"913"	"Bzi Brook teiby tapet gwe:eng logyia queity nisidie:ng ric'."	"Brook bought a carpet and she went to the market but she didn't go and buy it there."	""	"Felipe"	""
"914"	"Bied Maria biedya nai."	"Maria came and danced yesterday."	""	"Felipe"	""
"915"	"Biedya Maria nai."	"Maria came and danced yesterday."	""	"Felipe"	""
"916"	"#Gwe Maria biedya nai."	"Maria came and danced yesterday."	""	"Felipe"	"She's either going or coming."
"917"	"#Biedya Maria nai."	"Maria came and danced yesterday."	"She came yesterday but she danced today."	"Felipe"	""
"918"	"#Biedya Maria nai."	"Maria came and danced yesterday."	"She came the day before yesterday but she danced yesterday."	"Felipe"	""
"919"	"#Gugaty Jwany."	"Juan went and died. "	"Juan killed someone else."	"Felipe"	""
"920"	"Guguty Jwany teiby becw."	"Juan went and killed a dog."	"The dog had rabies."	"Felipe"	""
"921"	"Gutauw Jwany teiby bixtil."	"Juan went and ate a bar of soap."	"Juan is sleepwalking and he thinks he's eating an apple but it's really a bar of soap."	"Felipe"	"You can use that even if he doesn't know he's eating a bar of sleep, I mean you have to go on and explain more."
"922"	"Guzaa'll Jwany xli'ebre:ng."	"Juan went and dropped his book."	"Juan wanders out of his house while sleepwalking and loses his book somewhere."	"Felipe"	"We don't know where he lost his book."
"923"	"Bhiav xlie'br Jwany."	"Juan's book got dropped."	""	"Felipe"	""
"924"	"Guteiby Jwany rmuly xtenni lani hospital."	"Juan went and took his medicine in the hospital."	""	"Felipe"	"The medicine is a pill."
"925"	"#Guteiby Jwany rmuly xtenni lani hospital."	"Juan went and took his medicine in the hospital."	"He went in an ambulance."	"Felipe"	""
"926"	"Gunere:ng Jwany geiby rmuly xtenni lani hospital."	"They took Juan to take his medicine in the hospital."	"He went in an ambulance."	"Felipe"	""
"927"	"ropta"	"both"	""	"Felipe"	""
"928"	"Norma cuan Maria roptare:ng rapre:ng becw."	"Maria and Norma both have a dog."	""	"Felipe"	""
"929"	"Beinychia Maria teiby sabor guet."	"Maria made a tortilla cover."	""	"Felipe"	""
"930"	"Maria btoi."	"Maria sold it."	""	"Felipe"	""
"931"	"Paty beinychia teiby sabor guet chiru btoe:ngui."	"Paty made and sold a tortilla cover."	""	"Felipe"	"Wouldn't use ropta"
"932"	"Maria ropta bzie:ng cafe chiru bidauwe:ng manzan."	"Maria both drank a coffee and ate an apple."	""	"Felipe"	""
"933"	"*Maria ropta biedzi teiby tapet."	"Maria both came and bought a tapet."	""	"Felipe"	"You need to follow it up with a chiru+other verb; there needs to be another action"
"934"	"cuan"	"also, with"	""	"Felipe"	""
"935"	"agza"	"with"	""	"Felipe"	""
"936"	"rgwe inglez chiru rgweagza dizh xtil"	"I speak English and I also speak Spanish."	""	"Felipe"	""
"937"	"Riedzia logyia chiru rtouagza tapet."	"I come and buy at the market but I also sell carpets."	""	"Felipe"	""
"938"	"*Riedziagza."	"I come and also buy at the market."	""	"Felipe"	"It needs to have a contrast; you can say \"I come and buy (something), but I also come to buy (something else).\""
"939"	"Rizia manzan chiru riziagza razh."	"I come and buy apples and I also buy ?."	""	"Felipe"	""
"940"	"#Biedzi Brook teiby tapet nai logyia."	"Brook came and bought a rug at the market yesterday."	"Brook intending to buy a carpet, but didn't actually buy one."	"Felipe"	""
"941"	"Ziedzhiez Maria."	"Maria came and she's very smiley."	""	"Felipe"	""
"942"	"Ziedzhiez Maria."	"Maria is on her way and she's laughing."	""	"Felipe"	"The smiling/laughing can be simultaneous with the coming."
"943"	"Ziedzaa Maria."	"Maria is coming and walking."	""	"Felipe"	"She could just be walking towards us, she doesn't need to stop here. "
"944"	"Zizaa Maria."	"Maria is going and walking."	""	"Felipe"	""
"945"	"Rata zhi rzaa Maria ria zeinyni."	"Every day Maria walks and goes to work."	""	"Felipe"	""
"946"	"Guch yag."	"The stick breaks."	""	"Felipe"	""
"947"	"Guch detse:ng."	"His back breaks."	""	"Felipe"	""
"948"	"Gudiche:ng nie:ng."	"He goes and breaks his leg."	""	"Felipe"	""
"949"	"Bitiche:ng nie:ng."	"He breaks his leg."	""	"Felipe"	""
"950"	"Ritich"	"to go and break"	""	"Felipe"	""
"951"	"rach"	"breaks"	""	"Felipe"	""
"952"	"gugache:ng ric."	"He goes and breaks there."	""	"Felipe"	""
"953"	"raly"	""	""	"Felipe"	""
"954"	"guly"	""	""	"Felipe"	""
"955"	"gugalye:ng lani hospital."	""	""	"Felipe"	""
"956"	"ran"	""	""	"Felipe"	""
"957"	"gun"	""	""	"Felipe"	""
"958"	"Ual chigan lo nia!"	"Go and get tired in the field!"	""	"Felipe"	"As in a mother to her children."
"959"	"ra'an lonia."	""	""	"Felipe"	""
"960"	"gua'an lonia"	"plowed a field."	""	"Felipe"	""
"961"	"gugua'ne:ng lonia nai."	"He went and plowed the field yesterday."	""	"Felipe"	""
"962"	"rbany"	"to wake up"	""	"Felipe"	""
"963"	"biedbanye:ng"	"came and woke up"	""	"Felipe"	""
"964"	"blelaze:ng rsenye:ng."	"He quit his job."	""	"Felipe"	""
"965"	"Gundelaza rsenya"	"I went and quit my job."	""	"Felipe"	""
"966"	"rdiareiny"	"forms a household"	""	"Felipe"	""
"967"	"bdiareiny"	"formed a household"	""	"Felipe"	""
"968"	"*gudiareiny"	"went and formed a household"	""	"Felipe"	"Already involves movement, because it means you move out of your parent's household"
